date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2026-03-01,high,244,0.0,0.0,5.501258210544727,244,1,0.004098360655737705
2026-03-01,low,45,0.0,0.0,3.828641396489095,45,1,0.022222222222222223
2026-03-01,mid,365,1.0,0.0027397260273972603,5.902633333401366,365,0,0.0
2026-03-08,high,247,1.0,0.004048582995951417,5.5134287461649825,247,1,0.004048582995951417
2026-03-08,low,44,2.0,0.045454545454545456,3.8066624897703196,44,1,0.022727272727272728
2026-03-08,mid,371,1.0,0.0026954177897574125,5.918893854273146,371,1,0.0026954177897574125
2026-03-15,high,257,3.0,0.011673151750972763,5.552959584921617,257,0,0.0
2026-03-15,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2026-03-15,mid,376,7.0,0.018617021276595744,5.932245187448011,376,0,0.0
2026-03-22,high,258,3.0,0.011627906976744186,5.556828061699537,258,0,0.0
2026-03-22,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2026-03-22,mid,374,2.0,0.0053475935828877,5.926926025970411,374,1,0.00267379679144385
2026-03-29,high,259,0.0,0.0,5.560681631015528,259,1,0.003861003861003861
2026-03-29,low,45,0.0,0.0,3.828641396489095,45,0,0.0
2026-03-29,mid,375,2.0,0.005333333333333333,5.929589143389895,375,1,0.0026666666666666666
